	ID_TWEET	DATATIME	LATITUDE	LONGITUDE	cluster
146	715672454937649152	2016-03-31 19:49:44	-49.2442529	-25.5368821	6
151	715671190015225857	2016-03-31 19:44:42	-49.2442201	-25.5368591	6
153	715671056279801860	2016-03-31 19:44:10	-49.244205	-25.5368837	6
154	715670890982322181	2016-03-31 19:43:31	-49.25	-25.4167	1
155	715670790742609920	2016-03-31 19:43:07	-49.25668959	-25.4825391	7
156	715670791883464705	2016-03-31 19:43:07	-49.27822203	-25.43525116	2
157	715670746991734784	2016-03-31 19:42:57	-49.24837916	-25.48198044	8
158	715670641563844608	2016-03-31 19:42:32	-49.2235967	-25.4494431	9
159	715670626044940288	2016-03-31 19:42:28	-49.31600812	-25.43455667	4
164	715669841265430528	2016-03-31 19:39:21	-49.2772007	-25.44096878	2
165	715669838249795584	2016-03-31 19:39:20	-49.31606792	-25.43497632	4
166	715669821451403264	2016-03-31 19:39:16	-49.2645856	-25.4282919	2
168	715669582401445888	2016-03-31 19:38:19	-49.2266624	-25.4507517	9
169	715669455242727424	2016-03-31 19:37:49	-49.27396059	-25.4385854	2
171	715669185766948864	2016-03-31 19:36:45	-49.27780654	-25.43885019	2
172	715668914848530432	2016-03-31 19:35:40	-49.28101712	-25.43938821	2
173	715668748678643713	2016-03-31 19:35:00	-49.27907355	-25.44794193	2
174	715668341923442690	2016-03-31 19:33:23	-49.29245865	-25.4761321	10
175	715668125933547521	2016-03-31 19:32:32	-49.25878	-25.48383	7
176	715667939228262401	2016-03-31 19:31:47	-49.24796108	-25.4753687	8
179	715667260451389441	2016-03-31 19:29:06	-49.2767	-25.44	2
180	715667257200873472	2016-03-31 19:29:05	-49.31633064	-25.43538523	4
181	715667153186340865	2016-03-31 19:28:40	-49.2125215	-25.455246	11
183	715666974689386496	2016-03-31 19:27:57	-49.2236214	-25.4495157	9
185	715666811509989377	2016-03-31 19:27:18	-49.212865	-25.4562603	11
189	715666530114080768	2016-03-31 19:26:11	-49.2236377	-25.4494858	9
193	715666294234877952	2016-03-31 19:25:15	-49.2403272	-25.43655528	12
194	715666205630205953	2016-03-31 19:24:54	-49.25	-25.4167	1
195	715666198487281664	2016-03-31 19:24:52	-49.27466758	-25.43220437	2
196	715666187191992320	2016-03-31 19:24:50	-49.26756743	-25.4292029	2
197	715666134121451524	2016-03-31 19:24:37	-49.2558335	-25.48116178	7
198	715666118426378241	2016-03-31 19:24:33	-49.2659472	-25.4728344	13
199	715666113078673408	2016-03-31 19:24:32	-49.26733017	-25.43814941	2
200	715666060704399361	2016-03-31 19:24:19	-49.23989267	-25.44225136	12
202	715665902780465154	2016-03-31 19:23:42	-49.27377697	-25.42692126	2
204	715665632734420992	2016-03-31 19:22:37	-49.25	-25.4167	1
205	715665510638231552	2016-03-31 19:22:08	-49.2236351	-25.4494891	9
206	715665495022780416	2016-03-31 19:22:05	-49.23989267	-25.44225136	12
207	715665488806678530	2016-03-31 19:22:03	-49.25	-25.4167	1
208	715665066012622848	2016-03-31 19:20:22	-49.23989267	-25.44225136	12
209	715665031598317570	2016-03-31 19:20:14	-49.2659423	-25.4728282	13
210	715664808322932736	2016-03-31 19:19:21	-49.25	-25.4167	1
211	715664802853560320	2016-03-31 19:19:20	-49.24197461	-25.53936191	6
212	715664374225059840	2016-03-31 19:17:37	-49.2845764	-25.440258	2
216	715664234458251264	2016-03-31 19:17:04	-49.23989267	-25.44225136	12
219	715663907961044993	2016-03-31 19:15:46	-49.2733	-25.4284	2
220	715663867267981313	2016-03-31 19:15:37	-49.23989267	-25.44225136	12
222	715663775521710080	2016-03-31 19:15:15	-49.26961541	-25.42353317	2
224	715663680579481600	2016-03-31 19:14:52	-49.28421108	-25.43304939	2
225	715663651034763264	2016-03-31 19:14:45	-49.23989267	-25.44225136	12
227	715663335182712832	2016-03-31 19:13:30	-49.23989267	-25.44225136	12
228	715663296595173380	2016-03-31 19:13:20	-49.2659472	-25.4728347	13
229	715663088331137024	2016-03-31 19:12:31	-49.23989267	-25.44225136	12
230	715663020362481664	2016-03-31 19:12:15	-49.27368164	-25.43835288	2
232	715662789805809664	2016-03-31 19:11:20	-49.27357636	-25.44004875	2
234	715662778787360769	2016-03-31 19:11:17	-49.2659613	-25.4727657	13
235	715662779798196226	2016-03-31 19:11:17	-49.23944444	-25.44277778	12
238	715662666677751809	2016-03-31 19:10:50	-49.25	-25.4167	1
239	715662639595008000	2016-03-31 19:10:44	-49.2708282	-25.420784	2
242	715662416961478660	2016-03-31 19:09:51	-49.2683686	-25.4343555	2
244	715662256189648896	2016-03-31 19:09:12	-49.2659423	-25.4728288	13
246	715661980565004288	2016-03-31 19:08:07	-49.25	-25.4167	1
250	715661228853616640	2016-03-31 19:05:07	-49.2394763	-25.54046527	6
251	715661194691002373	2016-03-31 19:04:59	-49.26733017	-25.43814941	2
254	715661069654556672	2016-03-31 19:04:30	-49.2125215	-25.455246	11
256	715660998942801920	2016-03-31 19:04:13	-49.2900753	-25.47750805	10
258	715660891308613632	2016-03-31 19:03:47	-49.2125215	-25.455246	11
262	715660481382449153	2016-03-31 19:02:09	-49.31633064	-25.43538523	4
263	715660453892980737	2016-03-31 19:02:03	-49.27368164	-25.43835288	2
264	715660272942374912	2016-03-31 19:01:20	-49.2456166	-25.4171652	1
265	715660256735543297	2016-03-31 19:01:16	-49.27044808	-25.43431031	2
266	715659984542019586	2016-03-31 19:00:11	-49.294376	-25.473428	10
268	715659786000404482	2016-03-31 18:59:23	-49.26893597	-25.43477066	2
269	715659733777137665	2016-03-31 18:59:11	-49.25668959	-25.4825391	7
270	715659730929258496	2016-03-31 18:59:10	-49.24687259	-25.4820921	8
274	715659343077711872	2016-03-31 18:57:38	-49.25668959	-25.4825391	7
275	715659330444521472	2016-03-31 18:57:35	-49.2642588	-25.4765229	13
276	715659229990887424	2016-03-31 18:57:11	-49.25668959	-25.4825391	7
277	715659126743937024	2016-03-31 18:56:46	-49.27047372	-25.42328608	2
279	715658862683103233	2016-03-31 18:55:43	-49.31633064	-25.43538523	4
280	715658794001383424	2016-03-31 18:55:27	-49.25	-25.4167	1
281	715658512043544576	2016-03-31 18:54:20	-49.1993906	-25.4064763	14
283	715658180991160321	2016-03-31 18:53:01	-49.24837916	-25.48198044	8
284	715658130793705472	2016-03-31 18:52:49	-49.27165273	-25.44004194	2
286	715658081674387456	2016-03-31 18:52:37	-49.212865	-25.4562603	11
287	715657953928421414	2016-03-31 18:52:07	-49.212865	-25.4562603	11
288	715657842980753408	2016-03-31 18:51:40	-49.1993904	-25.4064761	14
291	715657147384799233	2016-03-31 18:48:54	-49.25880016	-25.49008719	7
292	715657099880108032	2016-03-31 18:48:43	-49.291324	-25.478361	10
293	715656971798585344	2016-03-31 18:48:12	-49.23989267	-25.44225136	12
294	715656889183375361	2016-03-31 18:47:53	-49.2851715	-25.4353714	2
295	715656787320565760	2016-03-31 18:47:29	-49.1993913	-25.4064778	14
296	715656764734193664	2016-03-31 18:47:23	-49.1993913	-25.4064778	14
297	715656689664528384	2016-03-31 18:47:05	-49.1993917	-25.4064787	14
298	715656479634796544	2016-03-31 18:46:15	-49.27354128	-25.43592691	2
299	715656453911142401	2016-03-31 18:46:09	-49.2641841	-25.4765153	13
300	715656453927923712	2016-03-31 18:46:09	-49.1993904	-25.4064763	14
302	715656192345915397	2016-03-31 18:45:07	-49.23989267	-25.44225136	12
304	715656064063160320	2016-03-31 18:44:36	-49.23797737	-25.43303197	12
305	715656042533617664	2016-03-31 18:44:31	-49.27780654	-25.43885019	2
308	715655867253678080	2016-03-31 18:43:49	-49.27391793	-25.43720545	2
310	715655397135282177	2016-03-31 18:41:57	-49.31335688	-25.43868229	4
311	715655356349677568	2016-03-31 18:41:47	-49.25	-25.4167	1
312	715655324011769856	2016-03-31 18:41:40	-49.31353137	-25.43844436	4
313	715655311185592320	2016-03-31 18:41:37	-49.2640262	-25.4763958	13
314	715655161323110402	2016-03-31 18:41:01	-49.2906332	-25.47785672	10
316	715654754450411520	2016-03-31 18:39:24	-49.24428502	-25.480117	8
317	715654720300384262	2016-03-31 18:39:16	-49.24687259	-25.4820921	8
318	715654676398604288	2016-03-31 18:39:05	-49.26544332	-25.44237302	2
319	715654480658825220	2016-03-31 18:38:19	-49.29059029	-25.478341	10
322	715654366875791360	2016-03-31 18:37:51	-49.25	-25.4167	1
323	715654320880943104	2016-03-31 18:37:40	-49.2906332	-25.47785672	10
328	715653846668820481	2016-03-31 18:35:47	-49.26733017	-25.43814941	2
329	715653497514037248	2016-03-31 18:34:24	-49.29245865	-25.4761321	10
330	715653460159512576	2016-03-31 18:34:15	-49.25	-25.4167	1
332	715653159062888448	2016-03-31 18:33:03	-49.25	-25.4167	1
337	715652192791826432	2016-03-31 18:29:13	-49.2671165	-25.42950199	2
338	715652150890770432	2016-03-31 18:29:03	-49.29338948	-25.4823532	10
339	715652074978091012	2016-03-31 18:28:45	-49.29423622	-25.43213994	16
340	715652024713547776	2016-03-31 18:28:33	-49.26772714	-25.47187095	13
342	715651059780358144	2016-03-31 18:24:43	-49.3160075	-25.4341954	4
343	715650937306673153	2016-03-31 18:24:14	-49.274346	-25.430212	2
344	715650902250692608	2016-03-31 18:24:05	-49.24807488	-25.42070092	1
346	715650768544538624	2016-03-31 18:23:34	-49.25	-25.4167	1
347	715650600214487040	2016-03-31 18:22:53	-49.25	-25.4167	1
348	715650531092463616	2016-03-31 18:22:37	-49.27352191	-25.44030201	2
350	715650220248399873	2016-03-31 18:21:23	-49.25	-25.4167	1
354	715649664083558404	2016-03-31 18:19:10	-49.27433	-25.43223	2
355	715649509636710401	2016-03-31 18:18:33	-49.25	-25.4167	1
357	715649121999261697	2016-03-31 18:17:01	-49.294875	-25.43182553	16
359	715648739852034048	2016-03-31 18:15:30	-49.28359509	-25.44180199	2
363	715648605533642752	2016-03-31 18:14:58	-49.23041901	-25.51797609	17
367	715648298166665220	2016-03-31 18:13:45	-49.23059213	-25.51692022	17
368	715648298854584320	2016-03-31 18:13:45	-49.2663135	-25.4099012	2
369	715648275949481984	2016-03-31 18:13:39	-49.26722871	-25.43666417	2
374	715647689803898881	2016-03-31 18:11:19	-49.24687259	-25.4820921	8
375	715647632853626880	2016-03-31 18:11:06	-49.27278933	-25.43889809	2
376	715647558652149765	2016-03-31 18:10:48	-49.27294277	-25.43914229	2
377	715647532483887105	2016-03-31 18:10:42	-49.27500197	-25.43392708	2
378	715647432273620994	2016-03-31 18:10:18	-49.27227454	-25.43855472	2
380	715647065410375680	2016-03-31 18:08:51	-49.282158	-25.43583	2
383	715646391410888704	2016-03-31 18:06:10	-49.27499702	-25.43257761	2
385	715646059448545280	2016-03-31 18:04:51	-49.29069403	-25.42642603	16
387	715645966280425473	2016-03-31 18:04:29	-49.27923444	-25.44250444	2
388	715645905303515136	2016-03-31 18:04:14	-49.25	-25.4167	1
389	715645849653653505	2016-03-31 18:04:01	-49.27209635	-25.43920657	2
390	715645713443500032	2016-03-31 18:03:28	-49.27253688	-25.43896668	2
391	715645608233738240	2016-03-31 18:03:03	-49.27423954	-25.43622135	2
392	715645510510583813	2016-03-31 18:02:40	-49.27127838	-25.439438	2
393	715645457276542976	2016-03-31 18:02:27	-49.27191138	-25.42976842	2
394	715645425722654720	2016-03-31 18:02:20	-49.2868964	-25.4353475	2
395	715645214074015744	2016-03-31 18:01:29	-49.26576	-25.42877	2
396	715645205349855232	2016-03-31 18:01:27	-49.25	-25.4167	1
397	715644146132779008	2016-03-31 17:57:15	-49.27466758	-25.43220437	2
398	715643509085233152	2016-03-31 17:54:43	-49.26906713	-25.41558921	2
399	715643442978766849	2016-03-31 17:54:27	-49.29067612	-25.47791484	10
401	715643404395347968	2016-03-31 17:54:18	-49.27487822	-25.43213913	2
404	715643081282953216	2016-03-31 17:53:01	-49.25929751	-25.51182819	15
406	715642960336056323	2016-03-31 17:52:32	-49.25964887	-25.5122928	15
407	715642888336588800	2016-03-31 17:52:15	-49.25870861	-25.51219829	15
408	715642824071462912	2016-03-31 17:51:59	-49.25902038	-25.51205719	15
410	715642734522945536	2016-03-31 17:51:38	-49.26576	-25.42877	2
411	715642720212164608	2016-03-31 17:51:35	-49.26031201	-25.51218181	15
412	715642644018421764	2016-03-31 17:51:16	-49.27980374	-25.442617	2
413	715642602071134208	2016-03-31 17:51:06	-49.25714485	-25.5135703	15
416	715642452644864000	2016-03-31 17:50:31	-49.25797126	-25.51145596	15
417	715641813046984704	2016-03-31 17:47:58	-49.24837916	-25.48198044	8
419	715641714258665472	2016-03-31 17:47:35	-49.2906332	-25.47785672	10
422	715641432674025472	2016-03-31 17:46:28	-49.27575933	-25.43193299	2
423	715641373320318976	2016-03-31 17:46:14	-49.26576	-25.42877	2
424	715641192973787136	2016-03-31 17:45:31	-49.25	-25.4167	1
425	715641161856094210	2016-03-31 17:45:23	-49.2939589	-25.4299867	16
429	715640867017650176	2016-03-31 17:44:13	-49.26296463	-25.43953086	2
432	715640715355639808	2016-03-31 17:43:37	-49.2767	-25.44	2
436	715640539408769024	2016-03-31 17:42:55	-49.26576	-25.42877	2
438	715640267932626945	2016-03-31 17:41:50	-49.25	-25.4167	1
439	715640106946838529	2016-03-31 17:41:12	-49.27221514	-25.43222855	2
441	715639813219696640	2016-03-31 17:40:02	-49.26790745	-25.41380168	2
442	715639570067423232	2016-03-31 17:39:04	-49.26576	-25.42877	2
443	715639452220133376	2016-03-31 17:38:36	-49.26837914	-25.41840826	2
444	715639214134673413	2016-03-31 17:37:39	-49.27668997	-25.43887714	2
446	715638785220984834	2016-03-31 17:35:56	-49.27216985	-25.42689894	2
447	715638538713358337	2016-03-31 17:34:58	-49.26612716	-25.43788722	2
448	715638489585467396	2016-03-31 17:34:46	-49.26474632	-25.42705249	2
449	715638412061978624	2016-03-31 17:34:28	-49.27016	-25.424545	2
451	715638094767239168	2016-03-31 17:33:12	-49.26521659	-25.43938956	2
452	715638026953756672	2016-03-31 17:32:56	-49.26634312	-25.43819786	2
454	715637948557967361	2016-03-31 17:32:37	-49.26733017	-25.43814941	2
457	715637017992794113	2016-03-31 17:28:55	-49.2767	-25.44	2
458	715636971092230144	2016-03-31 17:28:44	-49.28338051	-25.43831412	2
459	715636938947104769	2016-03-31 17:28:36	-49.26959	-25.42942	2
460	715636856071827456	2016-03-31 17:28:17	-49.26959	-25.42942	2
461	715636561983840258	2016-03-31 17:27:06	-49.2882233	-25.4491138	2
462	715636223579127808	2016-03-31 17:25:46	-49.22661052	-25.5120629	17
463	715636121724719107	2016-03-31 17:25:21	-49.22661052	-25.51224449	17
464	715635999590727680	2016-03-31 17:24:52	-49.228289	-25.512923	17
465	715635919139823618	2016-03-31 17:24:33	-49.22694	-25.512316	17
466	715635898554130432	2016-03-31 17:24:28	-49.22723866	-25.51219653	17
467	715635837413822470	2016-03-31 17:24:14	-49.26382577	-25.43207154	2
468	715635617632231424	2016-03-31 17:23:21	-49.25	-25.4167	1
469	715635489844432896	2016-03-31 17:22:51	-49.2688147	-25.43151941	2
476	715633042786820098	2016-03-31 17:13:07	-49.294875	-25.43182553	16
477	715632888373452801	2016-03-31 17:12:31	-49.26545799	-25.41762706	2
478	715632823907041280	2016-03-31 17:12:15	-49.26423655	-25.41888853	2
479	715632725923856384	2016-03-31 17:11:52	-49.27050591	-25.42343143	2
480	715631444027121665	2016-03-31 17:06:46	-49.28993333	-25.44292128	2
482	715631159238082561	2016-03-31 17:05:38	-49.25	-25.4167	1
483	715630963875848193	2016-03-31 17:04:52	-49.26905228	-25.43986288	2
484	715630899279372289	2016-03-31 17:04:36	-49.27280951	-25.42354739	2
486	715630350265950208	2016-03-31 17:02:25	-49.2936856	-25.4241296	16
489	715629798417154049	2016-03-31 17:00:14	-49.27280951	-25.42354739	2
491	715629637569622016	2016-03-31 16:59:36	-49.25	-25.4167	1
492	715629433307197443	2016-03-31 16:58:47	-49.26031201	-25.51218181	15
496	715628690672062466	2016-03-31 16:55:50	-49.26733017	-25.43814941	2
497	715628599349547009	2016-03-31 16:55:28	-49.25	-25.4167	1
498	715627605555290113	2016-03-31 16:51:31	-49.25	-25.4167	1
499	715627588798914560	2016-03-31 16:51:27	-49.2663135	-25.4099012	2
501	715627285110525952	2016-03-31 16:50:15	-49.27945226	-25.43455353	2
502	715627284204503040	2016-03-31 16:50:14	-49.26954031	-25.43034978	2
503	715627222720200704	2016-03-31 16:50:00	-49.25	-25.4167	1
504	715627211064262656	2016-03-31 16:49:57	-49.25	-25.4167	1
505	715627206328889344	2016-03-31 16:49:56	-49.27881539	-25.43499087	2
506	715626799833739264	2016-03-31 16:48:19	-49.2733	-25.4284	2
507	715626740568051713	2016-03-31 16:48:05	-49.25	-25.4167	1
508	715626639581962240	2016-03-31 16:47:41	-49.28184833	-25.4446975	2
512	715626378532679680	2016-03-31 16:46:38	-49.2689284	-25.4344656	2
515	715625618226851840	2016-03-31 16:43:37	-49.2767	-25.44	2
517	715624970215362561	2016-03-31 16:41:03	-49.27609099	-25.43278004	2
518	715624546552922112	2016-03-31 16:39:22	-49.27047372	-25.42328608	2
520	715624439824662528	2016-03-31 16:38:56	-49.28176045	-25.43865322	2
